d,n,omega,seed,row_index,eta_col_sum_excl,delta_E1,abs_r_l,drop_E1
4,48,1.0,5,34,43.795756618759135,-0.3155493725248064,0.08933861172738133,0.3155493725248064
4,48,1.0,5,40,53.358029505644936,-2.017356862746233,0.977116950177767,2.017356862746233
4,48,1.0,5,36,42.16112730759208,6.356951848273276,1.598405822219405,-6.356951848273276
4,48,1.0,5,34,43.795756618759135,-0.3155493725248064,0.08933861172738133,0.3155493725248064
4,48,1.0,5,32,44.908697434747474,0.2562992403776043,0.1984204924165911,-0.2562992403776043
4,48,1.0,5,45,48.414713654127645,0.8275300793331155,0.27909370414574663,-0.8275300793331155
4,48,1.0,5,40,53.358029505644936,-2.017356862746233,0.977116950177767,2.017356862746233
4,48,1.0,5,9,46.339097276125415,5.668971970401081,1.5467450918927081,-5.668971970401081
4,48,1.0,5,10,49.93343433988262,0.04676329157199888,0.03156692720914345,-0.04676329157199888
4,48,1.0,5,1,43.9756771977488,-0.1146046657631814,1.2310859421136982,0.1146046657631814
4,48,1.0,5,21,51.9961326149683,0.5342181718261507,0.14740009620324956,-0.5342181718261507
4,48,1.0,5,41,43.66318445206538,0.36518852933145496,0.47237047128510135,-0.36518852933145496
4,48,1.0,5,45,48.414713654127645,0.8275300793331155,0.27909370414574663,-0.8275300793331155
4,48,1.0,5,30,40.993411883267974,6.030794950336677,1.8915177013921418,-6.030794950336677
4,48,1.0,5,14,47.36233901244285,-2.7405618096501954,0.7199427689352507,2.7405618096501954
4,80,1.0,0,35,79.81086577372432,-3.9907608552675313,1.1241926251533485,3.9907608552675313
4,80,1.0,0,51,86.08807356144055,-2.046776213486922,1.569270283130132,2.046776213486922
4,80,1.0,0,53,66.81330209313018,0.6044197045835489,0.2952510269163442,-0.6044197045835489
4,80,1.0,0,71,74.47139890683334,2.423401439775972,0.7404167857478763,-2.423401439775972
4,80,1.0,0,28,79.61280875080882,-2.5328705259223625,0.976619028367794,2.5328705259223625
4,80,1.0,0,51,86.08807356144055,-2.046776213486922,1.569270283130132,2.046776213486922
4,80,1.0,0,69,96.50971647299139,0.9111467714748755,0.2066653244506682,-0.9111467714748755
4,80,1.0,0,4,80.05791919019123,-0.672860166861156,1.4676994596050932,0.672860166861156
4,80,1.0,0,20,70.96153993583269,-0.03077710368471287,0.058218047427866626,0.03077710368471287
4,80,1.0,0,29,64.98050158780964,0.2795668362176542,0.15389032109418554,-0.2795668362176542
4,80,1.0,0,4,80.05791919019123,-0.672860166861156,1.4676994596050932,0.672860166861156
4,80,1.0,0,4,80.05791919019123,-0.672860166861156,1.4676994596050932,0.672860166861156
4,80,1.0,0,35,79.81086577372432,-3.9907608552675313,1.1241926251533485,3.9907608552675313
4,80,1.0,0,14,66.47838344141056,-0.10262365642431348,0.21812558164026452,0.10262365642431348
4,80,1.0,0,77,81.81826832088002,4.471134609096254,0.7715604048557341,-4.471134609096254
4,80,1.0,0,29,64.98050158780964,0.2795668362176542,0.15389032109418554,-0.2795668362176542
4,80,1.0,0,16,76.77785421573927,-1.256311797253744,0.43126607104984727,1.256311797253744
4,80,1.0,0,60,83.1814633821214,-2.6739552086060883,0.9932493514166922,2.6739552086060883
4,80,1.0,0,42,71.90087282014731,0.30348627041428244,0.07794414462787591,-0.30348627041428244
4,80,1.0,0,35,79.81086577372432,-3.9907608552675313,1.1241926251533485,3.9907608552675313
4,80,1.0,1,64,75.95633823629345,0.8896331077648085,0.24750132503249045,-0.8896331077648085
4,80,1.0,1,5,71.10455461668477,-1.4772525220067223,1.6893851988721353,1.4772525220067223
4,80,1.0,1,20,72.3630624240817,-1.8724300093104986,0.9700872267089533,1.8724300093104986
4,80,1.0,1,64,75.95633823629345,0.8896331077648085,0.24750132503249045,-0.8896331077648085
4,80,1.0,1,59,78.67599271226365,0.8895780974988199,0.5845744331934748,-0.8895780974988199
4,80,1.0,1,54,83.96363029037977,3.6589646002545066,1.0218233460454482,-3.6589646002545066
4,80,1.0,1,74,78.84754892021957,0.2657311589214686,0.115271895289903,-0.2657311589214686
4,80,1.0,1,6,67.37472076871434,0.25210285938680954,0.23630226026419487,-0.25210285938680954
4,80,1.0,1,36,81.31347043398507,0.126287613476876,0.4390635731730188,-0.126287613476876
4,80,1.0,1,30,93.31715171114055,0.9419447469831255,0.9262839909241289,-0.9419447469831255
4,80,1.0,1,76,73.83012966138573,3.150080740146379,1.297559204003516,-3.150080740146379
4,80,1.0,1,7,69.9916234016783,0.1635957690593841,0.05590250737569624,-0.1635957690593841
4,80,1.0,1,61,75.05960426251056,2.237920121254348,1.3703233311396694,-2.237920121254348
4,80,1.0,1,1,95.88827646896199,-2.0951302457255565,0.8885960020200616,2.0951302457255565
4,80,1.0,1,50,79.75578677135611,0.2345004696941686,0.23697764729501003,-0.2345004696941686
4,80,1.0,1,79,59.40688267792041,-1.3798345499602576,0.9611740168006553,1.3798345499602576
4,80,1.0,1,47,77.14257461816948,1.081630635558895,0.4252235830408626,-1.081630635558895
4,80,1.0,1,73,61.553026672764,-2.011723936195395,0.693399470158536,2.011723936195395
4,80,1.0,1,2,74.01067790315413,0.830773493806312,0.6430377388366462,-0.830773493806312
4,80,1.0,1,10,64.73787668250532,0.34678060952158773,0.21985309160916477,-0.34678060952158773
4,80,1.0,2,23,86.15438560366766,-0.22232111945778144,0.6151937738558761,0.22232111945778144
4,80,1.0,2,51,81.27237081018478,3.906573232028485,0.5586878489294747,-3.906573232028485
4,80,1.0,2,59,64.39869017075395,-0.252329394102496,0.2585799131220545,0.252329394102496
4,80,1.0,2,71,78.12562076158935,8.606405218881193,1.0635978831225787,-8.606405218881193
4,80,1.0,2,79,88.26308721901492,0.6874467686532313,0.6744913318574706,-0.6874467686532313
4,80,1.0,2,54,53.039185853148005,0.05910909562745559,0.06519207392209392,-0.05910909562745559
4,80,1.0,2,47,75.3509650494492,5.253971741657558,1.2855178589326428,-5.253971741657558
