d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,80,1.0,0,42,0.04539381906470589,0.04539381906470588,0.22731348930675654,25.075925594117102,6.938893903907228e-18
4,80,1.0,0,56,0.06933528531773785,0.06933528531773785,0.42725858617631385,37.97283166434026,0.0
4,80,1.0,0,78,0.04431094268242666,0.04431094268242668,0.26462980374526035,35.666092418448386,1.3877787807814457e-17
4,80,1.0,0,64,0.15293916297341095,0.152939162973411,1.1435100677328784,55.90395930964584,5.551115123125783e-17
4,80,1.0,0,74,0.006905478294688298,0.006905478294688322,0.033879555895296454,24.070653908669055,2.42861286636753e-17
4,80,1.0,0,68,0.02634185007847027,0.02634185007847026,0.12768103582357693,23.49417758758632,6.938893903907228e-18
4,80,1.0,0,33,0.11626181241457653,0.11626181241457653,0.6519067622852668,31.441032117731275,0.0
4,80,1.0,0,77,0.060046950791877676,0.060046950791877655,0.35257771853137587,34.47686823693258,2.0816681711721685e-17
4,80,1.0,0,57,0.05050001067102544,0.05050001067102545,0.2614782811577725,26.8094746094214,6.938893903907228e-18
4,80,1.0,0,31,0.0984808254341592,0.0984808254341592,0.5299932529803737,28.962585020992034,0.0
4,80,1.0,0,72,0.08795886598529601,0.08795886598529602,0.5453368962150749,38.43886193232969,1.3877787807814457e-17
4,80,1.0,0,64,0.15293916297341095,0.152939162973411,1.1435100677328784,55.90395930964584,5.551115123125783e-17
4,80,1.0,0,48,0.17198848074801734,0.17198848074801734,1.0723562571103407,38.875810815808066,0.0
4,80,1.0,0,46,0.2102177377972348,0.21021773779723477,1.251577113775777,35.44675713609836,2.7755575615628914e-17
4,80,1.0,0,68,0.02634185007847027,0.02634185007847026,0.12768103582357693,23.49417758758632,6.938893903907228e-18
4,80,1.0,0,68,0.02634185007847027,0.02634185007847026,0.12768103582357693,23.49417758758632,6.938893903907228e-18
4,80,1.0,0,52,0.23866333727741132,0.2386633372774114,1.2050305604907683,25.49322058822056,8.326672684688674e-17
4,80,1.0,0,23,0.0076885057656032405,0.0076885057656032214,0.03568227406939872,21.538782984430934,1.9081958235744878e-17
4,80,1.0,0,18,0.024054861191002072,0.02405486119100207,0.12692032195621472,27.839191594615645,3.469446951953614e-18
4,80,1.0,0,2,0.07622393297260865,0.0762239329726087,0.4528659933663248,35.29853755000214,4.163336342344337e-17
4,80,1.0,1,55,0.15645505599876705,0.15645505599876705,0.7917635153005382,25.61012900865274,0.0
4,80,1.0,1,74,0.021929711048810092,0.021929711048810092,0.11854671122140514,29.22221969340069,0.0
4,80,1.0,1,32,0.01292660129703735,0.012926601297037356,0.06795950079417956,27.639593560650958,5.204170427930421e-18
4,80,1.0,1,65,0.02883658003034286,0.02883658003034285,0.16620550186097294,33.220279879579,1.0408340855860843e-17
4,80,1.0,1,12,0.09757116499170991,0.09757116499170991,0.6106893383131422,39.17397979484156,0.0
4,80,1.0,1,53,0.3626287544886657,0.3626287544886657,1.9317961709626312,28.379067774360962,0.0
4,80,1.0,1,79,0.05747487738111574,0.05747487738111574,0.23998628967441982,17.434791411445296,0.0
4,80,1.0,1,22,0.033611419286734966,0.033611419286734966,0.1810667996971258,29.02043702117067,0.0
4,80,1.0,1,28,0.2863859758685234,0.2863859758685234,1.4881207743374616,27.000565801644004,0.0
4,80,1.0,1,1,0.20623954011943918,0.2062395401194392,1.2181969048524808,34.88920875182626,2.7755575615628914e-17
4,80,1.0,1,38,0.2373819968099215,0.2373819968099215,1.3206139520627351,30.949682988059138,0.0
4,80,1.0,1,74,0.021929711048810092,0.021929711048810092,0.11854671122140514,29.22221969340069,0.0
4,80,1.0,1,32,0.01292660129703735,0.012926601297037356,0.06795950079417956,27.639593560650958,5.204170427930421e-18
4,80,1.0,1,28,0.2863859758685234,0.2863859758685234,1.4881207743374616,27.000565801644004,0.0
4,80,1.0,1,13,0.05378571052001551,0.053785710520015496,0.26069883010601824,23.493317299954526,1.3877787807814457e-17
4,80,1.0,1,10,0.20298199809870868,0.20298199809870868,0.9209363568693865,20.584683333461847,0.0
4,80,1.0,1,30,0.03279271131918291,0.03279271131918295,0.1647406453846103,25.237531519794157,4.163336342344337e-17
4,80,1.0,1,2,0.06865180625656805,0.06865180625656805,0.41518836767265643,36.57517547572253,0.0
4,80,1.0,1,75,0.23118909968554535,0.23118909968554538,1.4028044329747114,36.81794560816134,2.7755575615628914e-17
4,80,1.0,1,23,0.18325139990703174,0.1832513999070317,1.1288916831747704,37.94983962812241,2.7755575615628914e-17
4,80,1.0,2,23,0.0833882176779416,0.08338821767794163,0.48190357870044,33.397266343128734,2.7755575615628914e-17
